"item","cor7","cor8","cor9","cor10","cor11","n"
"subside",-0.48964691192803,-0.507263765667608,-0.567646641602599,-0.56000475434626,-0.47814269756603,5
"understand",-0.471709510115006,-0.682609222336706,-0.715996028376075,-0.632794718954625,NA,4
"shilf",-0.506117155006698,NA,-0.533396460910442,-0.567612301695245,-0.47814269756603,4
"sporty",-0.538682254607084,-0.656942102344649,-0.674311328093906,-0.660959188638066,NA,4
"greem",-0.584648064270068,NA,-0.570119747047957,-0.573944492700953,-0.447460529275628,4
"shelf",-0.609752346693249,-0.658268398561725,-0.647731445407725,-0.657850212500676,NA,4
"strong",-0.622883375421198,-0.542170875202629,-0.584868380686864,-0.600320251209181,NA,4
"blade",NA,-0.455331991705406,-0.654815260020385,-0.644880174291939,-0.462723292509217,4
"other",-0.471554158263739,-0.596830014695964,-0.608949372396566,NA,NA,3
"life",-0.500773189257306,-0.461688061545448,NA,-0.657410216755911,NA,3
"grand",-0.706848482340961,-0.458377316941853,-0.573499644692418,NA,NA,3
"check",NA,-0.466601189451492,NA,-0.682655550349241,-0.473023778699667,3
"young",NA,-0.467321126288127,-0.546721463227402,NA,-0.508879141886357,3
"selfishly",NA,-0.489367277667737,NA,-0.567612301695245,-0.445901591517958,3
"prize",NA,-0.501838674819965,-0.558218951707352,NA,-0.437463622826283,3
"ground",NA,-0.515643578873351,-0.597835445706922,-0.64503933051429,NA,3
"please",-0.505081812640862,-0.474433821145607,NA,NA,NA,2
"clip",-0.519236396289239,NA,NA,-0.60032025120918,NA,2
"without",-0.645390539973348,-0.466601189451493,NA,NA,NA,2
"best",-0.649261018686648,NA,NA,-0.632688180756657,NA,2
"deadly",NA,-0.491798824769728,NA,NA,-0.508879141886357,2
"jubside",NA,NA,-0.529916680537317,-0.554271337576012,NA,2
"scade",NA,NA,-0.54908579958965,-0.731521682155482,NA,2
"search",NA,NA,-0.553340471617627,NA,-0.55201533844635,2
"scarper",NA,NA,-0.567532467532468,-0.563937728886541,NA,2
"scram",-0.488279515208873,NA,NA,NA,NA,1
"was",-0.491125163560219,NA,NA,NA,NA,1
"bife",-0.494516376602999,NA,NA,NA,NA,1
"chust",-0.532219161363083,NA,NA,NA,NA,1
"grong",-0.532219161363084,NA,NA,NA,NA,1
"fond",-0.551020439001244,NA,NA,NA,NA,1
"fize",NA,-0.483090682734294,NA,NA,NA,1
"said",NA,-0.524003616089341,NA,NA,NA,1
"dairy",NA,-0.550113041282436,NA,NA,NA,1
"people",NA,NA,-0.535311334070474,NA,NA,1
"clep",NA,NA,-0.550851933080763,NA,NA,1
"yesterday",NA,NA,-0.568272383354586,NA,NA,1
"remember",NA,NA,NA,-0.554902559870566,NA,1
"stem",NA,NA,NA,-0.567532102034763,NA,1
"cup",NA,NA,NA,-0.603756918928467,NA,1
"aspire",NA,NA,NA,NA,-0.431995668582535,1
"demonstrate",NA,NA,NA,NA,-0.434641732964606,1
"language",NA,NA,NA,NA,-0.435772565110929,1
"probably",NA,NA,NA,NA,-0.440382239139029,1
"lantern",NA,NA,NA,NA,-0.446237432121235,1
"country",NA,NA,NA,NA,-0.45998883538335,1
"underbably",NA,NA,NA,NA,-0.460999447508991,1
"fortune",NA,NA,NA,NA,-0.482144437422206,1
"property",NA,NA,NA,NA,-0.501531523830468,1
"nature",NA,NA,NA,NA,-0.508879141886357,1
